u_g,g_r,r_i,i_z
1.183450999999998032e+00,3.645219999999991245e-01,1.145840000000042380e-01,6.579499999999782744e-02
1.289132999999999640e+00,5.289640000000002118e-01,1.766989999999992733e-01,6.166099999999730130e-02
9.681510000000024263e-01,2.941569999999984475e-01,1.259259999999997603e-01,-7.360999999999506826e-03
8.814109999999963918e-01,1.567170000000039920e-01,8.274699999999768352e-02,3.522999999997722398e-03
1.601158000000001635e+00,5.475479999999990355e-01,7.542399999999815918e-02,5.404700000000062232e-02
1.184979000000002003e+00,4.543630000000007385e-01,1.705320000000014602e-01,4.977199999999726288e-02
1.060666000000001219e+00,4.516710000000010439e-01,2.984299999999961983e-02,-2.175200000000288014e-02
2.451154999999999973e+00,1.161251000000000033e+00,3.707239999999991653e-01,2.125930000000018083e-01
2.636355999999999256e+00,1.362591000000001884e+00,5.559180000000001343e-01,2.829859999999992937e-01
1.056874999999998010e+00,1.125720000000001164e-01,-8.809999999996875886e-04,-1.154799999999980287e-01
2.471370000000000289e+00,1.081658000000000897e+00,4.159240000000004045e-01,2.169509999999981176e-01
1.760163000000002143e+00,6.302519999999987022e-01,1.885690000000010969e-01,1.635899999999956833e-02
9.316390000000005500e-01,2.416669999999996321e-01,6.392100000000056070e-02,-5.844099999999841089e-02
8.017440000000028988e-01,2.834319999999976858e-01,1.210729999999990980e-01,1.031189999999995166e-01
9.539569999999990557e-01,3.781429999999978975e-01,1.135640000000002203e-01,-7.606999999996588713e-03
2.200973000000001178e+00,8.423199999999972931e-01,2.921899999999979514e-01,1.960790000000010025e-01
1.095572000000000656e+00,3.708969999999993661e-01,1.403259999999981744e-01,5.460700000000073828e-02
2.686549999999989780e-01,1.845439999999989311e-01,1.676029999999997244e-01,-1.059629999999991412e-01
1.091452000000000311e+00,3.307219999999979620e-01,1.205980000000010932e-01,1.205699999999865213e-02
9.792850000000008492e-01,3.622489999999984889e-01,4.977799999999987790e-02,-1.462149999999979855e-01
8.481389999999997542e-01,3.205030000000022028e-01,1.565229999999999677e-01,1.081769999999977472e-01
1.274649000000000143e+00,5.347899999999974341e-01,1.443380000000011876e-01,8.646799999999998931e-02
2.668798999999996369e+00,1.072447000000000372e+00,4.268220000000013670e-01,2.538529999999994402e-01
9.011690000000029954e-01,4.750879999999995107e-01,-3.663099999999985812e-02,7.463900000000123214e-02
1.419022999999995704e+00,5.662480000000016389e-01,1.631160000000004828e-01,8.006899999999994577e-02
1.147439999999999571e+00,4.417410000000003834e-01,1.672040000000016846e-01,7.531799999999932993e-02
8.735239999999997451e-01,3.906169999999988818e-01,1.305370000000003472e-01,6.022700000000114073e-02
1.092155000000001763e+00,2.793679999999980623e-01,1.246570000000026823e-01,9.040799999999649117e-02
1.270540000000000447e+00,5.775319999999979359e-01,2.687589999999993040e-01,6.568300000000348859e-02
1.035585999999998563e+00,4.714980000000004168e-01,1.109280000000012478e-01,4.710400000000092291e-02
1.315048000000000883e+00,6.698609999999973752e-01,2.236630000000019436e-01,6.491899999999972692e-02
1.106799999999999784e+00,4.983690000000002840e-01,1.934570000000022105e-01,9.368999999999871875e-02
1.727696000000001675e+00,5.408319999999982031e-01,1.552320000000015909e-01,9.729300000000051796e-02
9.035289999999989163e-01,2.520880000000005339e-01,8.430699999999902161e-02,9.072300000000055320e-02
8.087470000000003267e-01,4.811460000000025161e-01,1.069199999999987938e-01,2.006990000000001828e-01
8.891579999999983386e-01,2.737309999999979482e-01,1.061790000000009115e-01,2.034700000000100317e-02
1.125834999999995034e+00,3.901730000000007692e-01,1.312060000000023763e-01,1.656200000000040973e-02
8.765959999999992647e-01,3.286709999999999354e-01,1.472110000000022012e-01,3.998899999999849797e-02
4.495830000000005100e-01,1.470790000000015141e-01,3.028769999999987306e-01,5.627499999999940883e-02
2.851760000000002293e+00,1.476510999999998575e+00,7.703020000000009304e-01,4.209279999999999688e-01
1.047378000000001919e+00,3.738409999999987576e-01,1.380119999999998015e-01,4.137599999999963529e-02
1.618168999999998192e+00,5.806509999999995841e-01,2.329270000000036589e-01,8.598899999999787269e-02
1.075433000000000305e+00,4.190179999999976701e-01,1.703910000000021796e-01,2.892499999999742499e-02
8.861889999999981171e-01,2.179640000000020450e-01,1.014990000000004500e-01,6.815399999999982583e-02
1.179136000000003293e+00,4.932649999999974000e-01,2.109489999999993870e-01,7.567300000000187765e-02
8.776010000000020739e-01,3.379329999999995948e-01,1.362930000000019959e-01,6.155399999999744409e-02
9.078540000000003829e-01,2.717759999999991294e-01,1.815799999999967440e-02,1.144500000000014950e-01
2.572336000000003509e+00,1.068567999999999074e+00,4.524359999999969517e-01,-4.510169999999984469e-01
2.464992999999999768e+00,1.130403000000001157e+00,4.533409999999982176e-01,2.380999999999993122e-01
2.164494000000001250e+00,9.423850000000015825e-01,3.161619999999984998e-01,1.643159999999994625e-01
1.126351999999997133e+00,4.135070000000009571e-01,-7.408000000001635499e-03,8.924800000000132627e-02
9.881510000000020000e-01,5.350900000000002876e-01,1.807689999999979591e-01,6.735400000000169030e-02
2.278390999999995614e+00,9.726330000000018572e-01,3.963109999999971933e-01,2.052360000000028606e-01
9.968550000000000466e-01,3.813130000000022335e-01,1.492159999999991271e-01,5.695399999999750662e-02
1.651163000000000380e+00,6.407570000000006871e-01,2.381549999999990064e-01,6.344800000000105911e-02
2.296735999999999223e+00,1.020330999999998767e+00,3.954040000000027533e-01,1.361760000000007409e-01
1.004034000000000759e+00,4.274269999999980030e-01,1.235719999999993490e-01,1.075189999999999202e-01
8.450929999999985398e-01,3.593149999999987187e-01,1.158719999999995309e-01,-2.580699999999680472e-02
1.436084999999998502e+00,4.933790000000009002e-01,1.835430000000002337e-01,7.771400000000028285e-02
1.032208000000004233e+00,4.041799999999966531e-01,1.048399999999993781e-01,3.434100000000128716e-02
9.623200000000018406e-01,2.179339999999996280e-01,9.091599999999999682e-02,-1.377000000000094815e-02
9.159700000000015052e-01,2.706030000000012592e-01,1.494829999999964798e-01,3.664600000000106661e-02
9.469390000000004193e-01,2.584879999999962763e-01,8.961100000000143950e-02,-2.473399999999870147e-02
1.728546999999998945e+00,6.433009999999974582e-01,2.505810000000039395e-01,3.964599999999762758e-02
1.095291999999997046e+00,4.100719999999995480e-01,1.436840000000003670e-01,5.995200000000266982e-02
1.040505999999997044e+00,3.400040000000004170e-01,1.974050000000033833e-01,3.518999999997163286e-03
9.324000000000012278e-01,2.698770000000010327e-01,9.561299999999661736e-02,8.333000000003920604e-03
1.705158000000000840e+00,7.233730000000022642e-01,2.619709999999990657e-01,1.471399999999967179e-01
1.301614000000000715e+00,4.492670000000025254e-01,1.646479999999961308e-01,8.192800000000133309e-02
2.153287999999996316e+00,8.962360000000018090e-01,3.470189999999995223e-01,1.349449999999983163e-01
2.212590999999999752e+00,8.093609999999973326e-01,2.407559999999993039e-01,1.457700000000023977e-01
1.029572000000001708e+00,2.162320000000015341e-01,7.957499999999839702e-02,-2.972600000000014120e-02
1.068720000000002557e+00,4.473249999999993065e-01,1.368310000000008131e-01,4.850399999999766010e-02
8.460080000000012035e-01,3.161739999999966244e-01,2.224989999999991142e-01,-5.170199999999880447e-02
9.223119999999980223e-01,2.894080000000016639e-01,5.537800000000103751e-02,9.396100000000018326e-02
